url,name,Ocurrences
"https://<your site>.com/product-guide-1/index.html","Welcome",1600
"http://localhost:3000/product-guide-1/index.html","Welcome",1550
"https://<your site>.com/product-guide-1/page-1.html","Settings",1425
"https://<your site>.com/product-guide-1/page-2.html","Configuration | Articles",1420
"https://<your site>.com/product-guide-2/page-1.html","Glossary",1415
"https://<your site>.com/product-guide-2/page-1.html","Glossary - docs.<your site>.com",1413
"http://localhost:7000/product-guide-2/page-1.html","Glossary",1412
"https://<your site>.com/product-guide-2/page-2.html?q=admin%20console","Administration",1400
"https://<your site>.com/product-guide-1/page-1.html#options","Settings",1390
"https://<your site>.com/product-guide-2/product-guide-2a/page-1.html","Intro",1375
"https://<your site>.com/product-guide-2/page-3.html","Security, permissions, and identification",1350
